COD_REG_RBD,PROM_GRAL,n_estudiantes
1,5.221586000664526,63203
2,5.321806458079281,119726
3,5.283209375704305,62118
4,5.3331154804380985,144899
5,5.2691204494198685,343198
6,5.306131346825468,178672
7,5.303324201901371,203327
8,5.333435374312479,417806
9,5.2030736406974025,209979
10,5.197601651020678,173953
11,5.156526019690577,21330
12,5.48954192423522,31545
13,5.252991209241295,1318430
14,5.267970879223446,80355
15,5.409513338867823,44569
