cod_reg_rbd,prom_gral,n_estudiantes
1,5.14022333269831,68239
2,5.2438610709600875,119687
3,5.296010964314901,58736
4,5.238656468286275,146167
5,5.167496456086287,324500
6,5.263623245977871,171178
7,5.318103225874387,189933
8,5.376723068018145,371445
9,5.110827709667486,191601
10,5.134064373991211,169758
11,5.105336478547267,22468
12,5.410053949646996,30028
13,5.150507394543498,1243214
14,5.173649218218899,73550
15,5.31460841103383,46439
