cod_reg_rbd,prom_gral,n_estudiantes
1,4.923464576388263,66594
2,4.991660203971014,119919
3,5.0272778749271385,60045
4,5.059282771143236,143190
5,5.021730135459325,330136
6,5.1001034197861115,173081
7,5.105558090063306,195085
8,5.158633288157604,388114
9,4.928278485942392,200283
10,4.887279429332059,175794
11,4.809699532606277,22465
12,5.32032075038536,30491
13,4.993755604907434,1277898
14,4.952059920261151,77503
15,4.998402222268636,47879
