COD_REG_RBD,PROM_GRAL,n_estudiantes
1,5.250662403763115,108846
2,5.314189066096951,120762
3,5.298375416865174,62970
4,5.331217058803266,145145
5,5.26524944071908,350003
6,5.3099182827716085,180011
7,5.304796135542961,209085
8,5.344089589967731,424869
9,5.187208861381735,213601
10,5.196124822012625,257743
11,5.167877786952931,21798
12,5.495165927129554,32002
13,5.265483970482891,1338749
