COD_REG_RBD,PROM_GRAL,n_estudiantes
1,5.1846926115539835,70123
2,5.291212725309411,120390
3,5.350864305691276,59354
4,5.246685811600495,149735
5,5.209512131649444,326625
6,5.247092738896018,173789
7,5.350222608713764,192041
8,5.40797033519298,372293
9,5.177287836646089,191633
10,5.160375279819041,170646
11,5.118227859250451,22707
12,5.446793173969893,29827
13,5.201440857678596,1246341
14,5.207182633317603,74165
15,5.381278761531121,47155
