partida,capitulo,area,nombre_partida,nombre_capitulo,nombre_area,count,sum
09,01,021,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE COLCHAGUA,780,77944936
09,01,009,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE HUASCO,895,145588020
09,01,035,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE CAUTÍN NORTE,371,379083642
09,01,036,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE CAUTÍN SUR,374,193288627
09,01,015,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE QUILLOTA,669,145148399
09,01,017,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE VALPARAÍSO,631,143559351
09,01,018,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE SAN ANTONIO,848,72098651
09,01,020,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE CACHAPOAL,970,99713433
09,01,022,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE CARDENAL CARO,462,47826115
09,01,042,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE PALENA,255,109213833
09,01,044,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE COYHAIQUE,698,80700218
09,01,008,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE COPIAPÓ,597,79345800
09,01,048,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE SANTIAGO CENTRO,40,91357071
09,01,051,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE SANTIAGO PONIENTE,55,144312849
09,01,054,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE SANTIAGO NORTE,171,129887158
09,01,034,MINISTERIO DE EDUCACION,SUBSECRETARIA DE EDUCACION,DEPARTAMENTO PROVINCIAL DE MALLECO,557,218334803
