CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,cantidad_estudiantes,NOMBRE_REGION
1,479.9986998916576,486.45027085590465,322.33867822318524,280.30465872156014,57.5887323943662,579.9945828819068,4615,Tarapacá
2,485.21329754284534,496.966136692133,288.47821598182946,289.9657237249639,55.95354119347512,543.9186454676853,4843,Antofagasta
3,468.7938988095238,483.7622767857143,353.0494791666667,243.54352678571428,55.861607142857146,541.1566220238095,2688,Atacama
4,478.1073677046112,482.6972945380296,362.6317849242811,257.3187000170155,56.88293346945721,559.8870171856389,5877,Coquimbo
5,493.58832027560146,490.66694449074845,344.5134744679669,266.96216036006,56.15552592098683,550.34955825971,17997,Valparaíso
6,489.85555397119634,489.72194495936117,339.2609439612149,272.8229003279624,56.91786681876515,562.3149864537288,7013,O'Higgins
7,499.7911392405063,507.2297743533297,353.5635663181068,319.97330764997247,57.73926802421574,576.6400660429279,7268,Maule
8,492.4175699111207,501.53332972035554,358.4913830479081,314.5158790375027,56.8314003902016,562.5311077389985,18452,Biobío
9,490.094298245614,486.6561129385965,338.9878015350877,318.99917763157896,56.07949561403509,548.7219024122807,7296,La Araucanía
10,500.0965961361546,496.19621500854254,349.53331581022474,288.0950190563806,56.59153633854646,557.2073859902747,7609,Los Lagos
11,502.67898383371823,501.5450346420323,358.78868360277136,282.5011547344111,55.32101616628176,534.1685912240184,866,Aysén
12,499.9825581395349,495.94941860465116,355.3581395348837,270.79418604651164,57.41686046511628,575.3127906976745,1720,Magallanes
13,512.0158561117028,502.77026387409774,348.6183439829606,253.4440302922731,55.68931191574961,542.7192639924269,67608,Metropolitana
