CODIGO_REGION,CLEC_REG_ACTUAL,MATE1_REG_ACTUAL,MATE2_REG_ACTUAL,HCSOC_REG_ACTUAL,CIEN_REG_ACTUAL,CLEC_INV_ACTUAL,MATE1_INV_ACTUAL,MATE2_INV_ACTUAL,HCSOC_INV_ACTUAL,CIEN_INV_ACTUAL,PROM_NOTAS,PTJE_NEM,PTJE_RANKING,cantidad_estudiantes,NOMBRE_REGION
1,575.2919770163865,598.9649502379922,398.28760859625055,478.00076775431864,464.8654845612962,604.5508021390374,664.1895604395604,436.9493670886076,523.3613445378152,512.6070175438597,59.964524765729585,713.0006693440429,727.2535140562248,6085,Tarapacá
2,585.1079552292695,609.4004660861033,399.0264675052411,482.8253930443068,473.4155138339921,618.4740099009902,680.9330855018587,440.3707865168539,537.8904109589041,524.2464898595944,59.68205727644652,704.8932398207676,719.0617572569647,10478,Antofagasta
3,571.6094019197637,589.5498869062578,387.31284916201116,468.81663685152057,458.549286199864,606.4629629629629,662.4892966360857,430.3790322580645,510.6545454545454,516.4736842105264,59.3628389154705,695.8652312599681,711.0293062200957,5037,Atacama
4,585.0328740844088,609.907770000886,404.34736632083,487.6747303040209,477.43360724068117,629.4383445945946,677.8216783216783,438.95,531.45,534.19955654102,59.5253674392312,700.2513425664217,715.416054267948,14259,Coquimbo
5,588.2488570077251,611.0932359784963,405.51164566628483,492.2934672689274,475.59538470735936,633.9004329004329,683.075841285786,441.1776649746193,560.7730220492866,544.4,59.81627839348606,708.5713593330964,721.9317263885747,31162,Valparaíso
6,592.5468797334141,621.2743676742751,416.59494351802044,499.7207963913517,483.006263476743,629.732966276669,686.7200282087447,459.3778110944528,550.9773755656108,537.7931345980127,59.52841284128413,700.3262526252626,714.3659765976597,16762,O'Higgins
7,589.4143925353103,621.7475905183642,409.90784226849803,486.25576852643144,478.14919088507264,612.2022233986236,668.6883116883117,441.90526315789475,528.650974025974,513.3013698630137,60.063830876330876,715.8593877968877,728.7614148239148,19595,Maule
8,592.7420274064451,622.878262355303,411.35278198744317,484.90340370529947,483.7650167923801,630.5859636093576,693.1983154670751,446.8622222222222,530.6856010568032,534.10791015625,60.264546732255795,721.5085382993675,732.7330288123683,28534,Biobío
9,582.4486468200271,601.7454620746773,397.55027081922816,475.5695224719101,471.2047860893518,611.0919689119171,661.5883520847121,439.77078651685395,524.863813229572,524.4350649350649,59.19124850331991,690.8721563078262,706.2106237074127,18405,La Araucanía
10,592.8748654467169,619.4995865110723,419.6263533139688,497.3214835070928,481.526890101325,633.0798362333675,684.661733615222,455.05982905982904,546.2515527950311,538.0842696629213,59.432952367430964,697.6410875275076,714.2914034215944,14144,Los Lagos
11,594.300796812749,621.2510204081633,417.6329365079365,505.258024691358,477.957249070632,629.058064516129,686.8397435897435,443.04761904761904,529.566037735849,531.0512820512821,59.55917753259779,701.1038114343029,716.4307923771314,2002,Aysén
12,598.3817504655493,619.887150308203,415.97333333333336,505.54830718414536,485.19306594153636,630.0358744394618,699.4054054054054,466.36986301369865,579.8023255813954,539.1925465838509,60.1544227886057,718.6461769115442,731.5311094452774,2682,Magallanes
13,609.033088659967,643.3368730424336,434.25287331014135,524.3837054918528,503.79278501091517,654.755540166205,719.6041476985331,471.68520859671304,589.5656891495602,565.690073322053,59.48315095853463,698.9093105037641,713.8391573772171,118685,Metropolitana
14,582.9893558451092,594.5570733532934,398.926024481107,481.15185185185186,466.6257425742574,610.5073068893528,654.5257270693512,438.4732824427481,540.680981595092,518.1285714285714,59.946836946836946,712.5105435105435,728.8535788535788,6747,Los Ríos
15,572.8593661573289,608.5041726618705,401.9924002533249,477.5156412930136,472.3733174980206,583.5692695214105,644.0701298701299,428.3379310344828,492.2764227642276,512.5693950177936,60.39090909090909,725.074090909091,736.9420454545455,4430,Arica y Parinacota
16,586.522196421254,621.2166274726795,409.1011532125206,480.13219561895056,478.74425699928213,631.4488711819389,686.8654104979812,439.2925170068027,546.9591836734694,538.1263537906137,60.46671931407942,727.5110559566787,740.2264214801444,8891,Ñuble
