CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,PTJE_RANKING,cantidad_estudiantes,NOMBRE_REGION
1,459.2281017788786,455.83404638594914,285.59851384823236,281.75546048187346,58.444719657734744,593.39450574195,615.6534564287323,4441,Tarapacá
2,463.1464596273292,458.2904347826087,234.56770186335405,314.70695652173913,58.09403726708074,586.2957763975155,606.7070807453416,8050,Antofagasta
3,454.96427626356177,450.78115903678224,272.35617888330245,291.6020111140513,57.90949986768987,580.0079386080973,602.0100555702567,3779,Atacama
4,464.34851957975167,462.9034383954155,274.10401146131807,311.9184336198663,58.13868194842407,585.3024832855779,608.3186246418338,10470,Coquimbo
5,471.9017447199265,466.845650177666,305.5900107797341,287.0645985547171,58.34618916437098,591.0243542140776,612.8759132830279,25047,Valparaíso
6,470.5261252365671,467.2573027236073,275.4239282481692,300.8387229490661,58.28996955484243,588.60289640418,610.4000658273677,12153,O'Higgins
7,468.08514893920994,466.74455318237017,284.7752696621187,328.7197656975498,58.8277734123866,600.3106650475034,619.7043360240017,13999,Maule
8,474.02186836518047,472.70505307855626,263.75749469214435,335.89944798301485,58.72768577494692,597.9016560509555,616.1591082802548,23550,Biobío
9,462.94110314739794,453.6068868806482,273.754206918043,317.91928949828605,57.925444063571206,580.4042536615768,602.4063571205983,12836,La Araucanía
10,469.6869009584665,461.19798625229936,267.55145706263914,296.3683802885081,58.26081905315132,587.6010262368089,613.8792719527544,10329,Los Lagos
11,465.1376329787234,454.50531914893617,253.85239361702128,299.031914893617,58.1968085106383,586.1828457446809,612.2772606382979,1504,Aysén
12,467.6534939759036,461.4428915662651,282.13927710843376,286.44,59.37301204819277,611.9956626506024,631.1889156626506,2075,Magallanes
13,484.82063260031356,482.7713338417864,278.787922121944,296.4343565950595,58.097591203762555,585.2963327825092,608.4489322486336,94404,Metropolitana
14,463.7759262889629,453.7633797294648,280.7890609684376,293.24720643011176,58.45089198196432,591.5632228974711,614.184473632621,5101,Los Ríos
15,451.4525218371372,452.40743871513104,255.42096365173288,293.49422372499293,59.07326007326007,605.8157227387996,622.0039447731756,3549,Arica y Parinacota
16,469.0370315727353,470.6274712304515,293.04765417527295,313.82059604603126,59.2279433461198,608.2516966656831,624.6988787252877,6778,Ñuble
