CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,cantidad_estudiantes,NOMBRE_REGION
1,490.33454425363277,492.7414134742404,301.08058124174374,281.52146631439894,55.76188903566711,544.8051519154558,3028,Tarapacá
2,496.89442004229704,505.90938669269565,267.30649097120545,313.14120709289085,55.45420530340003,537.8483813242232,6147,Antofagasta
3,473.7295850066934,482.6760374832664,315.37617135207495,253.85568942436413,55.60026773761714,534.9330655957162,3735,Atacama
4,479.736410368588,480.76681614349775,317.95800065623973,271.6605053046046,55.761347478945645,541.0382806518649,9143,Coquimbo
5,492.90929291326086,488.93806047139117,345.52491865724943,257.4754384572653,55.54987699388938,537.4416712959289,25202,Valparaíso
6,488.1448619284744,488.4018107741059,322.11118153010415,260.4938886373925,56.14857401539158,548.2987777274785,11045,O'Higgins
7,492.7326637972262,489.8448110951698,325.77897337796907,296.6058504702694,56.52678144428503,554.1364578351665,12546,Maule
8,492.66055304740405,497.111526523702,311.5602779345372,322.70114983069976,56.17494356659142,549.2958874153499,28352,Biobío
9,491.07274662881474,484.069464158978,309.9529808374734,300.55864088005677,55.63218594748048,535.792228530873,11272,La Araucanía
10,497.70322147651007,491.4987919463087,312.5151677852349,273.11194630872484,55.87959731543624,540.2002684563759,7450,Los Lagos
11,493.9599018003273,496.7176759410802,296.2364975450082,289.81587561374795,54.62765957446808,516.1644844517185,1222,Aysén
12,498.2076661814653,491.6443474041727,291.5735080058224,275.1014070839398,56.852498786996605,563.7472100921883,2061,Magallanes
13,511.9289406123118,507.91226998721993,320.1493570386455,260.7799454868298,54.721451271785476,526.7364141191373,88419,Metropolitana
14,495.5178486435031,487.4773917182294,305.5168967158496,306.30961446930036,56.388148500713946,550.7648738695859,4202,Los Ríos
15,475.58998691099475,485.5425392670157,303.33704188481676,269.74509162303667,57.26112565445026,568.9806937172775,3056,Arica y Parinacota
