CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,PTJE_RANKING,cantidad_estudiantes,NOMBRE_REGION
1,391.04107142857146,377.9680357142857,430.6196428571429,219.13392857142858,57.22625,565.2035714285714,587.0183928571429,5600,Tarapacá
2,410.62217659137576,383.52751540041066,360.4822381930185,254.96252566735112,56.90112936344969,558.3847022587269,576.6300821355236,9740,Antofagasta
3,407.0566037735849,383.14703968770334,390.2934287573195,242.22012578616352,56.551073519843854,550.8523096942095,571.5515072652353,4611,Atacama
4,419.98208243617347,416.19055675176867,407.0820516764073,260.0226853275915,56.56213472777607,551.0237619194094,571.4256382651491,13004,Coquimbo
5,427.3287848831556,409.83833014617704,438.55845460733156,242.74420639808122,56.82060091401161,557.5748873691375,576.894694195054,30853,Valparaíso
6,435.38156075074085,428.1408626934475,402.06315442871255,268.00401712216,56.894764570299635,557.6704642739545,577.653934804083,15185,O'Higgins
7,432.13484096548615,426.4485111662531,422.1993570945184,289.64533047597564,57.44315362057298,569.4966162869389,587.8719264606361,17732,Maule
8,440.09543882403807,427.9076235768843,393.9551088053034,294.45600951145695,57.310059086323676,566.6392131431041,583.2988182735264,27756,Biobío
9,422.66554454211087,412.41094694844463,400.7856742098373,282.0905180475033,56.281590923259145,545.0905180475032,565.1931924443613,16041,La Araucanía
10,422.37923005277867,412.3243557901273,395.2461968332816,246.42843837317602,56.62185656628376,552.2180999689538,575.0229742316051,12884,Los Lagos
11,406.7240577012564,403.5756165658446,410.9655653792462,261.58120055839925,56.379711493718005,546.8073522568636,568.6807817589577,2149,Aysén
12,415.18230358504957,402.6045003813883,410.81464530892447,236.06712433257056,57.68268497330282,575.1910755148741,591.1556064073227,2622,Magallanes
13,438.4910509528956,417.7331453022994,385.6141058421418,247.3725826150372,56.583994517225925,551.9762940313326,572.3153122281677,113811,Metropolitana
14,425.45051721475994,413.6637332098194,403.7943492357573,257.4440327312027,57.23745561216612,565.484637949668,587.341824918944,6477,Los Ríos
15,396.8198930978387,380.1405995816872,388.11619800139437,246.84150592609808,57.55821519869858,572.0508947246108,586.5370671624448,4303,Arica y Parinacota
16,439.802733653491,434.10405122521854,435.0167467060707,290.7811845831794,58.07930057874646,582.6908016254156,597.8212042851866,8121,Ñuble
