CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,cantidad_estudiantes,NOMBRE_REGION
1,475.69334330590874,480.6675392670157,317.59424083769636,260.9167913238594,57.56712789827973,575.8268511593119,5348,Tarapacá
2,485.61057173678535,494.6010427903632,278.53775620280476,304.49676375404533,56.52427184466019,552.5873786407767,5562,Antofagasta
3,473.4331020812686,484.1988767756855,354.203832177073,249.34192269573836,56.62834489593657,555.1694747274529,3027,Atacama
4,483.3769010691161,484.6553229935251,339.8650805601566,269.02394217738293,56.99924710134016,560.8280379460924,6641,Coquimbo
5,494.20435105067986,490.1968850432633,339.8565142150803,269.12796044499385,56.43886279357231,553.7061063040791,20225,Valparaíso
6,488.70303917978765,490.6633711705114,326.8005614549005,273.0822653484682,57.11949224948126,565.6434761381668,8193,O'Higgins
7,500.232885011511,506.27529383254574,342.61407972858353,318.8699866715134,57.67381558221253,576.9653459348116,8253,Maule
8,492.54969631338577,500.09284806252646,339.61627195254016,315.15782287301664,57.02839116719243,565.1701586703706,21239,Biobío
9,494.5316651618728,490.1676770282471,333.4617567393267,316.79272539662065,55.929446665806786,546.1779956146008,7753,La Araucanía
10,499.6605942046705,496.40836288054777,330.22997921506294,283.2788849492603,56.47780902310796,555.4868565839345,8179,Los Lagos
11,503.3082039911308,509.0931263858093,325.1319290465632,309.92017738359203,55.78270509977827,541.189578713969,902,Aysén
12,496.6913710958179,491.9587083112758,317.55743779777663,277.9142403388036,57.68237162519852,576.5214399152991,1889,Magallanes
13,512.6648193586598,508.3977493865809,332.69382632484417,260.9864060693234,56.04915813520602,548.7846264489382,70914,Metropolitana
