CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,PTJE_RANKING,cantidad_estudiantes,NOMBRE_REGION
1,459.0040511727079,457.0712153518124,282.7609808102345,283.56865671641793,56.32217484008529,547.556289978678,567.5688699360342,4690,Tarapacá
2,464.42383263985204,464.7411003236246,247.19949144706428,312.94209431345354,55.8591077207582,539.2816689782709,557.2990060101711,8652,Antofagasta
3,463.0405038281057,459.12892072116574,298.9869103482341,296.61669548036554,55.928130402568534,538.1928871326253,561.2978513213139,4049,Atacama
4,471.3911344052589,470.72230612063606,282.72026294749935,309.21400017766723,56.12738740339344,543.0214977347429,564.8759882739629,11257,Coquimbo
5,475.3798484481506,469.6582471194768,330.1749420435279,283.3948998304557,56.021729351925536,542.7563060101727,562.9995847894537,28901,Valparaíso
6,475.53420388781717,472.99599347084137,283.94227630212197,300.2745214423505,56.35791660483751,547.415195132809,569.0863629618638,13478,O'Higgins
7,476.9414890211894,474.5952883938288,283.7461110044171,330.05473401190704,56.8975097624992,558.6952179758018,578.3351257922028,15621,Maule
8,477.4196881959911,476.18060876020786,277.0503043801039,339.26295471417967,56.78512249443207,556.0781885671863,573.4465924276169,33675,Biobío
9,472.7406432332432,466.4284189554575,272.019353920592,331.297566529102,55.857834068592574,537.3602533086665,559.7654048669418,14054,La Araucanía
10,479.4734349435977,472.03573581331267,273.34538878842676,297.65633341944374,56.14759321450099,543.0693188667872,566.8963230861965,11613,Los Lagos
11,450.53355893965033,456.0682459108855,282.473209249859,270.5566835871404,55.900169204737736,538.5736040609137,561.6796390298929,1773,Aysén
12,469.9578482537134,462.5002007226014,295.1035728623043,284.13488558811724,57.226013649136895,566.7595343235648,585.4817342432758,2491,Magallanes
13,489.40221655643467,488.1290984184926,289.9946279553302,290.0809946279553,55.85226406751277,538.6232324467735,559.8929448401087,106291,Metropolitana
14,472.59296994396334,462.3922567498727,260.60893190694514,306.49719816607234,56.407539480387165,549.0781117337409,572.248768891153,5889,Los Ríos
15,453.6906528189911,455.57987141444113,273.85385756676556,289.63180019782396,57.026211671612266,562.3019287833828,580.5900098911968,4044,Arica y Parinacota
