CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,PTJE_RANKING,cantidad_estudiantes,NOMBRE_REGION
1,459.63938102713615,459.8093742991702,264.96882709127607,283.9795918367347,56.0634671450998,544.2305449652389,568.4918143081409,4459,Tarapacá
2,467.2252628911694,471.06017990624605,237.73482832889903,314.17357151906754,55.78677309007982,537.3593057139237,559.10426960598,7893,Antofagasta
3,463.46367689483344,461.8127458693942,283.14345659585626,286.2496721741411,55.52268554943614,532.6556517178075,557.4272226593233,3813,Atacama
4,472.37982307547526,473.0934500282326,264.76049313005836,304.5779220779221,55.97430830039526,540.1678900809336,565.8730472426124,10626,Coquimbo
5,475.75522429166523,470.84001790202086,314.5685268702448,273.3437188005646,55.67762591661789,536.0082280442042,558.7520914380143,29047,Valparaíso
6,481.6475610720215,480.5705589374654,281.420981895802,291.1753498300261,55.9305873982133,539.67191082299,562.4458850502016,12649,O'Higgins
7,480.06434404636457,477.42847734457325,280.7823366701791,330.57316912539517,56.705611169652265,555.2738408851422,579.1694546891465,15184,Maule
8,477.05055113288427,475.54105939987755,268.3073790569504,332.9326699326393,56.26053276178812,546.5868646662584,566.1319350887936,32660,Biobío
9,476.149006138556,467.64827535808246,260.261546331482,330.1267173341128,55.59448991522947,532.2079801227711,557.9892575270388,13684,La Araucanía
10,481.7764673105498,473.0114227340267,270.46387444279344,290.46953937592866,55.74507800891531,535.8542904903418,563.9376857355127,10768,Los Lagos
11,467.17888198757765,461.94534161490685,292.08385093167703,267.7701863354037,55.5,530.8639751552795,559.8546583850932,1610,Aysén
12,465.11361836896276,462.1698337292162,288.5494853523357,268.15360253365003,56.74544734758511,556.1064924782264,581.6563737133808,2526,Magallanes
13,493.6018340424705,490.28675370597034,283.18658079306795,282.9486798391327,55.375735851256046,530.1151036505994,555.0274329233938,102942,Metropolitana
14,475.9943652635068,465.8541597613523,251.6266158435532,299.1044083526682,55.88133907855486,541.6624129930394,570.4613854822671,6034,Los Ríos
15,450.7224025974026,452.4615800865801,269.1314935064935,291.08522727272725,56.76650432900433,557.0091991341991,576.536525974026,3696,Arica y Parinacota
