CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,PTJE_RANKING,cantidad_estudiantes,NOMBRE_REGION
1,468.60928481806775,461.3585947302384,270.37490589711416,254.8840652446675,56.095859473023836,545.4404015056462,564.5106649937264,3985,Tarapacá
2,468.6256496698975,467.8464672004495,230.44542772861357,299.2621154656553,55.88298918387414,539.0415788734373,555.0384885517628,7119,Antofagasta
3,464.7269403824522,469.8011811023622,287.8577052868391,261.5953318335208,55.523622047244096,531.2677165354331,552.566366704162,3556,Atacama
4,467.05444214876036,466.5131198347107,275.2566115702479,279.19380165289255,56.02768595041322,540.8856404958677,559.327479338843,9680,Coquimbo
5,472.3187506881492,468.56663118875474,326.17183543142363,248.29489485080927,55.58931258487173,535.2841413733622,553.2509267075275,27247,Valparaíso
6,471.09895052473763,470.29560219890055,290.276111944028,256.3071797434616,55.877811094452774,539.071964017991,556.1859903381643,12006,O'Higgins
7,476.9930849562518,473.8807507761784,289.73892181766865,294.61085238498447,56.47657352526108,551.5691504374823,569.80094552639,14172,Maule
8,469.1513323590684,472.44224371132736,267.07652125244863,304.82994931749636,56.30913217872578,547.3032554957869,562.4267280246261,32161,Biobío
9,469.37946830880145,464.8787924301592,265.34980474617004,305.99414238510064,55.334635025533196,527.696155001502,547.0599279062782,13316,La Araucanía
10,481.10299949161157,474.51936959837315,290.800406710727,260.41738688357907,55.53960345704118,533.2346720894764,555.2797153024911,9835,Los Lagos
11,479.29543907420015,465.74063989108237,286.85228046289996,249.9142273655548,55.096664397549354,524.6167460857727,542.9564329475834,1469,Aysén
12,462.1206008583691,460.45622317596565,292.7321888412017,243.58369098712447,56.55064377682403,553.7394849785408,572.1914163090129,2330,Magallanes
13,494.17334116979447,487.7321754286409,289.79086782051803,259.9969295934498,55.15700620161323,527.641289368084,547.4158323537757,98684,Metropolitana
14,463.3751353302057,458.02093107181526,263.668892096716,267.87242872609164,55.91248646697943,540.2295200288704,559.6264886322627,5542,Los Ríos
15,446.89088235294116,454.4864705882353,268.87823529411764,267.2864705882353,56.652352941176474,556.4808823529412,569.1664705882353,3400,Arica y Parinacota
