CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,cantidad_estudiantes,NOMBRE_REGION
1,460.8990897269181,460.8884265279584,279.6267880364109,260.5214564369311,55.736801040312095,542.228088426528,3845,Tarapacá
2,468.8353832951945,471.2009439359268,233.35697940503434,302.9641018306636,56.02059496567506,541.4319221967963,6992,Antofagasta
3,459.8146417445483,464.2785046728972,275.295015576324,275.62180685358254,55.76853582554517,536.306230529595,3210,Atacama
4,463.88980577639126,466.594344369528,280.6866257421757,280.08855791486366,56.112408171480325,543.141793297776,9937,Coquimbo
5,471.79125899280575,468.4294244604317,328.9161510791367,251.2135251798561,55.71471223021583,537.5653956834533,27800,Valparaíso
6,473.99279128248116,471.9416596814753,297.30980720871753,262.00176026823135,55.96529756915339,541.1435875943001,11930,O'Higgins
7,472.98868291328193,470.6835381517739,295.78455877247796,296.85114212316876,56.05554398389224,547.7513712421023,14403,Maule
8,469.0128261691668,473.8521366443968,272.31775494768686,314.41689776881384,56.316147737299886,548.1294907349048,31732,Biobío
9,462.1465374955149,460.8355220667384,272.93878722640835,304.9265159669896,55.21772515249372,526.9414424111949,13935,La Araucanía
10,479.84051339285713,474.12957589285713,287.25870535714284,268.62857142857143,55.39776785714286,532.8707589285714,8960,Los Lagos
11,482.7671755725191,474.82824427480915,274.6412213740458,280.78473282442746,55.16641221374046,525.0175572519084,1310,Aysén
12,475.770347558293,474.7725472943247,272.1711394632644,265.7338319401672,54.90453145622525,542.4663440387153,2273,Magallanes
13,493.4114287472059,486.5261571273301,292.07102721325595,261.6345589893977,55.07216537128561,527.5290691712979,97526,Metropolitana
14,468.0630388963403,464.1569266142939,269.6978348342594,275.2287794596666,55.67714121479211,537.958804368653,5219,Los Ríos
15,445.18291250734,457.2295948326483,272.75249559600707,267.50675278919556,56.869054609512624,559.3079859072226,3406,Arica y Parinacota
