CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,PTJE_RANKING,cantidad_estudiantes,NOMBRE_REGION
1,463.36145996860284,462.4764521193093,298.8920722135008,280.9564364207221,56.559654631083205,551.4603610675039,573.4240580847724,5096,Tarapacá
2,466.13740288568255,469.5587125416204,248.70455049944505,312.96914539400666,56.30288568257492,546.5788013318535,566.2574916759156,9010,Antofagasta
3,458.4092165898617,458.921198156682,285.8138248847926,299.5557603686636,56.03778801843318,540.286866359447,562.6172811059907,4340,Atacama
4,473.0858680792891,473.83005809979494,289.00598086124404,317.41541353383457,56.3603041695147,546.9562542720438,569.3697026657553,11704,Coquimbo
5,478.29141408952364,474.3393951847666,335.5347443405596,288.78540360971266,56.48025617315661,549.4663173396349,570.4989554436796,29199,Valparaíso
6,478.11674718196457,477.7282242717025,294.6534914361001,309.24652320304494,56.60759771629337,551.5390133216221,574.0371102327624,13662,O'Higgins
7,477.96711396711396,477.8207018207018,293.5097965097965,340.6893466893467,57.187110187110186,563.4849744849745,583.3446733446733,15873,Maule
8,479.35622541078453,479.12303286276324,288.9245255727841,338.61718930803056,57.03289169173802,560.4530779912058,578.4437051608423,34568,Biobío
9,473.78867487919416,468.0011570135439,283.7884707003335,330.7717280337576,56.08922616211802,540.9252024773701,562.6006261485061,14693,La Araucanía
10,479.37419516681996,474.5125846642696,283.37143573877415,302.72940881344596,56.24458566769797,544.2082113889121,567.7599297600134,11959,Los Lagos
11,464.42056074766356,463.3948598130841,291.0408878504673,302.61974299065423,55.955607476635514,538.6209112149533,559.4830607476636,1712,Aysén
12,471.3169841913255,468.4775030401297,300.07701661937574,310.4357519254155,57.58005674908796,572.1511957843535,589.1220105391163,2467,Magallanes
13,491.7361153220694,491.30163630182926,291.1044440156923,293.65358360206903,56.136986301369866,543.1315197118786,564.8066389202796,108843,Metropolitana
14,476.7308009909166,468.56911643270024,286.54467382328653,308.94087530966146,56.78364987613543,555.3544178364988,579.7190751445087,6055,Los Ríos
15,458.1094539331248,463.356266538369,280.92759201347127,307.04955496752467,57.38657685831128,568.2631705556892,586.2691845080587,4157,Arica y Parinacota
