CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,cantidad_estudiantes,NOMBRE_REGION
1,488.41773449513073,487.7703741670938,293.4436186570989,263.36160943106097,55.71373654536135,538.5115325474115,3902,Tarapacá
2,499.794923857868,499.38288614938364,251.75489485134156,315.5005076142132,55.97200870195794,540.0404641044234,6895,Antofagasta
3,479.23510553032327,486.5300561047288,299.13144536468076,281.9080951108736,55.494255944429604,529.5645204381512,3743,Atacama
4,482.17588913654424,486.9274154472333,308.245178796395,280.33171818974705,55.88952417869949,538.9124915204961,10319,Coquimbo
5,492.6946477900552,487.97748618784533,339.9727555248619,260.89675414364643,55.615400552486186,534.4004834254143,28960,Valparaíso
6,492.3610393802453,489.3162524209167,313.76993221433185,265.8477243382828,55.93891220142027,540.1835054874113,12392,O'Higgins
7,493.62296181976785,493.4531302422331,316.15963228880094,302.98537207273705,56.32080789102865,547.7805810910555,14903,Maule
8,491.9436724105985,494.90973380272993,290.2759557779013,318.6909702921376,56.18757334321537,544.3911123463653,32382,Biobío
9,487.7230633544025,484.5464500955461,290.8283110392474,314.6956489783919,55.09348816698515,524.7411436131118,13606,La Araucanía
10,496.0666805367731,493.10777072714035,301.2442525746385,275.08967023821907,55.64548007905961,532.5964839280141,9613,Los Lagos
11,492.1899313501144,485.9610983981693,299.1243325705568,268.32799389778796,53.83524027459954,508.2890922959573,1311,Aysén
12,488.60907216494843,488.34639175257735,298.6136082474227,271.05938144329895,55.594226804123714,545.48206185567,2425,Magallanes
13,513.5626311549593,508.55568926593,309.9395021332883,260.4537887000368,54.966991218212016,522.574147927876,100549,Metropolitana
14,486.938344750972,483.63932605073137,284.8835400851694,288.18218848361414,55.8948342899463,539.7931864469542,5401,Los Ríos
15,472.7657142857143,484.0326530612245,292.1368707482993,274.74721088435376,57.01496598639456,562.1278911564626,3675,Arica y Parinacota
