CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,cantidad_estudiantes,NOMBRE_REGION
1,484.66208718626154,483.85944517833553,282.5883751651255,282.0523117569353,55.4216644649934,536.7749009247028,3785,Tarapacá
2,493.65214233841687,496.3907044299201,260.00261437908495,311.69193899782135,55.60130718954248,534.6730573710965,6885,Antofagasta
3,479.0633802816901,488.44027125717264,313.7357850808555,281.0112154407929,55.677621283255085,535.9394887845592,3834,Atacama
4,480.5986340690884,483.77382955557755,317.273879045828,279.75304365040085,55.64644165099475,537.6522815005444,10103,Coquimbo
5,492.53604024434065,488.54390945023357,345.4914480776141,262.8196191160618,55.18052461372619,530.9262666187567,27830,Valparaíso
6,488.55098776293687,488.930016795969,314.96680796608814,271.3881468447573,55.54226985523474,538.8139646484843,12503,O'Higgins
7,491.9757663628832,490.77409555371446,320.94290251311793,312.2943247721624,55.8772438552886,545.1533416183374,14484,Maule
8,491.69615529352734,497.16385474159557,303.4767937782238,331.0692737079779,56.22516307074762,546.8840002508781,31888,Biobío
9,484.53093380705957,481.0249478643701,298.9592955897119,305.3372982158029,54.921989650111996,524.7948559511856,12947,La Araucanía
10,504.5357843137255,499.4171568627451,307.1247549019608,289.7164215686274,55.38517156862745,534.4998774509804,8160,Los Lagos
11,498.8339197748065,497.0323715693174,293.073187895848,291.6854327938072,54.32934553131597,512.2920478536242,1421,Aysén
12,494.87203579418343,491.99149888143177,319.4187919463087,259.14317673378076,56.94317673378076,564.1015659955257,2235,Magallanes
13,513.2382542113323,507.32168453292496,313.27662072485964,268.1192240939255,54.792036753445636,523.9401429300664,97950,Metropolitana
14,490.3086089993836,482.5909184302445,287.3638791863571,304.7407026915965,56.23854530511609,546.0137661803986,4867,Los Ríos
15,467.4646872297492,484.2242721245316,303.31507639089074,271.29287979244737,56.75727875468435,560.5113865667339,3469,Arica y Parinacota
