CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,PTJE_RANKING,cantidad_estudiantes,NOMBRE_REGION
1,456.1534819491024,453.6419412112843,306.0503057802328,265.3902150325508,56.749062931544685,556.6764647859538,577.7390017754981,5069,Tarapacá
2,461.2883243243243,462.24194594594593,258.2325405405405,298.0654054054054,56.42454054054054,551.0092972972973,570.324,9250,Antofagasta
3,453.39264504339883,453.07286432160805,302.174280493376,275.801964367291,56.3184102329831,546.0370031978072,567.8451347647327,4378,Atacama
4,471.60429677741695,470.6631692896994,291.33791323174285,298.76301107502707,56.462819552002664,550.040386376884,571.6261970189025,12009,Coquimbo
5,472.0235310166081,466.6005183644238,339.1721515533881,272.36916413736657,56.494151348770586,552.3888415237186,572.6893905807727,29323,Valparaíso
6,473.7646235656311,469.5256087321579,296.05219703330533,290.16225860621324,56.59879652952701,553.4554995801847,574.4620067170445,14292,O'Higgins
7,470.913599213421,466.73336201069253,303.0284520371167,317.38751305844033,57.28163215141646,566.480427702329,585.5770908867449,16273,Maule
8,476.2873507098325,472.0067227521971,293.6040336513183,322.89070833020355,57.01228122887403,561.2929467437842,579.01325771802,26626,Biobío
9,466.05704361766084,457.33017166521944,290.74163382539575,311.6547992786053,56.178745574777906,544.1076080422149,565.2824126644847,14971,La Araucanía
10,476.514981890023,467.6247118867303,295.08404675666776,284.2110635495555,56.477115574580175,550.1098946328614,573.8640105367139,12148,Los Lagos
11,456.86729857819904,449.76619273301736,294.5839915745129,280.5724065297525,55.84412848867825,537.9626119010005,557.739336492891,1899,Aysén
12,464.4887245841035,463.64029574861365,304.441404805915,269.41293900184843,57.514972273567466,571.0025878003697,586.4269870609982,2705,Magallanes
13,483.75416659110283,483.18741045682884,296.40418200612976,278.8944524038374,56.22732630891714,546.0070637093995,567.0136831033169,110282,Metropolitana
14,470.441668018822,461.16355670939475,287.43063443128347,292.13581048190815,57.04640597111796,562.4793120233652,586.2738925847801,6163,Los Ríos
15,454.6463717693837,461.37698807157057,278.88568588469184,300.66600397614314,57.684890656063615,574.8220675944334,591.6578031809145,4024,Arica y Parinacota
16,470.70061570035915,467.65533606977937,317.6390456644433,317.52437147255,57.975500256541814,580.8959722934839,597.2048486403284,7796,Ñuble
