CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,cantidad_estudiantes,NOMBRE_REGION
1,485.6682255131203,487.60795011691346,286.6222395427384,272.0426084697324,55.73707456482203,539.9301117173292,3849,Tarapacá
2,497.45636910732196,500.44590915603953,261.631035965038,308.91947270382576,55.7111334002006,534.9107321965897,6979,Antofagasta
3,482.7793415431013,492.1379743654185,302.35938678059813,281.9924604171903,55.51545614475999,530.3395325458658,3979,Atacama
4,480.78007036227064,483.07730341352095,306.4040125511077,283.90748312256346,55.90377484073405,540.0589521726728,10517,Coquimbo
5,490.54428644851805,486.53726229227345,340.764673633716,254.93781051910227,55.222443035806066,529.0403289360974,29185,Valparaíso
6,490.41728905132686,489.35221674876846,315.16184649610676,268.4847449547116,55.7310503734308,538.1703480057206,12586,O'Higgins
7,495.40143393192176,495.04884749396945,320.2171669793621,311.21582685607075,56.1462074510855,546.9134950415438,14924,Maule
8,491.6925418569254,496.51056316590564,299.0448706240487,323.4194216133942,56.20797564687976,544.6040182648402,32850,Biobío
9,489.831928345627,483.49864519042603,295.25809122384464,314.0965678157459,55.24529580009032,527.2770585578804,13286,La Araucanía
10,500.1484445446348,495.4199729486023,308.7972272317403,280.9418394950406,55.491771866546436,532.4395852119026,8872,Los Lagos
11,492.71766342141865,491.04450625869265,294.6432545201669,299.26077885952714,53.88525730180807,511.547983310153,1438,Aysén
12,501.00560103403706,500.0573028866868,312.0499784575614,267.2602326583369,56.57647565704438,556.3808703145196,2321,Magallanes
13,511.7326678086912,506.81720715931243,312.40894323350466,263.3263039754268,54.512542579794044,518.5684131766003,101574,Metropolitana
14,494.251291219706,487.6040921732221,289.82459276916967,298.59296781883194,55.38319427890346,537.375645609853,5034,Los Ríos
15,475.57532433148003,485.43208895949164,295.7566851998941,271.24199099814666,56.652899126290706,558.4956314535345,3777,Arica y Parinacota
