CODIGO_REGION,LENG_ACTUAL,MATE_ACTUAL,HCSO_ACTUAL,CIEN_ACTUAL,PROM_NOTAS,PTJE_NEM,PTJE_RANKING,cantidad_estudiantes,NOMBRE_REGION
1,460.24288465653757,460.16969826663814,280.46201583565164,277.31821099935803,56.155574577359296,546.5996148084743,567.4190027819388,4673,Tarapacá
2,464.2213749553199,464.096032407959,247.24294054569285,308.67937567020135,55.684856427975696,537.3530322888121,555.75944239247,8393,Antofagasta
3,459.0602536997886,455.4603594080338,277.4024841437632,285.7899048625793,55.542019027484145,533.8934989429175,554.6942389006342,3784,Atacama
4,468.898365446078,467.03223449913247,271.98064103734816,298.21714911880196,55.88950780750616,539.6492557757282,561.7977353666332,10951,Coquimbo
5,472.10663212435236,466.89492227979275,324.86262521588947,280.7886701208981,55.880759930915374,540.5972711571675,560.9678756476684,28950,Valparaíso
6,474.72865289765724,472.3420160295931,285.02242601726266,289.5755240443896,56.2268803945746,545.704454377312,568.6788686806411,12976,O'Higgins
7,476.8243902439024,474.80095026924295,284.39347481786507,327.677035159962,56.86525182134938,559.2432055749128,579.7182134938232,15785,Maule
8,469.41535386785796,467.2524688455208,271.7357453562191,327.6973900775923,56.346402539383966,549.4081530684223,566.8203914883611,34024,Biobío
9,469.5905846730589,463.5769591233509,263.7062216134381,331.80217720423906,55.55554754523827,532.8443515247639,554.7053564991709,13871,La Araucanía
10,475.05455180239153,466.6838613947805,261.4897442611504,289.47045474382475,55.94387710569957,540.3844811032557,564.7685257920922,11457,Los Lagos
11,456.13918128654973,454.8982456140351,293.21520467836257,284.68187134502926,55.523976608187134,533.9783625730994,558.0497076023391,1710,Aysén
12,462.6201700154559,459.89567233384855,303.5680061823802,269.20208655332306,57.09891808346213,564.0193199381762,584.1294435857806,2588,Magallanes
13,485.98415000421045,483.56297426013083,287.78491162738476,280.6397541098646,55.51746400067367,533.6526100096372,554.8878617476164,106877,Metropolitana
14,474.5199932795699,462.2708333333333,263.17103494623655,306.33434139784947,56.212533602150536,545.963373655914,570.6266801075269,5952,Los Ríos
15,445.84517258629313,443.7193596798399,261.86118059029513,289.57253626813406,56.546773386693346,554.7206103051526,572.3191595797899,3998,Arica y Parinacota
