CODIGO_REGION,NUM_ESTUDIANTES_ADMISION,NOMBRE_REGION,NUM_ESTUDIANTES_MATRICULADOS,CONEXIONES_POR_VIVIENDA,TASA_MATRICULA
1,5924,Tarapacá,2322,24.055887071446158,39.196488858879135
2,6245,Antofagasta,2384,32.2471721271817,38.174539631705365
3,3414,Atacama,1007,13.736436157035032,29.49619214997071
4,8506,Coquimbo,2293,11.391149937785151,26.957441805784153
5,24871,Valparaíso,6086,18.19065777897227,24.470266575529735
6,10761,O'Higgins,2529,10.199738649160487,23.5015333147477
7,11490,Maule,3005,8.762867794582212,26.153176675369888
8,27434,Biobío,7859,19.931935310649752,28.646934460887948
9,10733,La Araucanía,2842,10.071598920113026,26.479083201341655
10,10587,Los Lagos,3287,13.38970323200769,31.04751109851705
11,1098,Aysén,306,7.750273920529505,27.868852459016395
12,2001,Magallanes,660,15.715461027484915,32.98350824587706
13,88449,Metropolitana,14274,30.57253445743054,16.138113489129328
