CODIGO_REGION,NUM_ESTUDIANTES_ADMISION,NOMBRE_REGION,NUM_ESTUDIANTES_MATRICULADOS,CONEXIONES_POR_VIVIENDA,TASA_MATRICULA
1,4690,Tarapacá,1527,42.95954710756195,32.55863539445629
2,8652,Antofagasta,3233,44.43572804844481,37.36708275543227
3,4049,Atacama,1478,32.21059417964826,36.50284020745863
4,11257,Coquimbo,3406,33.55603168625167,30.256729146308963
5,28901,Valparaíso,9475,44.717404142264336,32.78433272205114
6,13478,O'Higgins,3960,26.37086030088697,29.381213829945096
7,15621,Maule,4288,25.19390630297787,27.450227258178092
8,33675,Biobío,10495,55.21895223911102,31.165553080920564
9,14054,La Araucanía,4556,26.957189906756547,32.417816991603814
10,11613,Los Lagos,3435,29.9762808848124,29.578920175665203
11,1773,Aysén,513,18.912993180040324,28.934010152284262
12,2491,Magallanes,867,33.58071960558062,34.805299076676036
13,106291,Metropolitana,32475,60.16675874825703,30.55291605121788
14,5889,Los Ríos,1528,31.53439093355742,25.946680251316014
15,4044,Arica y Parinacota,1393,45.81389078993758,34.446092977250245
